indice,g_proba,g_monto,ge,leads,desembolso,marcaciones
37.0,8.0,2.0,1.0,3747.0,676881.8595,41217.0
37.0,8.0,2.0,5.0,3747.0,555480.2,14988.0
37.0,8.0,2.0,4.0,3747.0,584716.0,18735.0
37.0,8.0,2.0,2.0,3747.0,644649.39,33723.0
37.0,8.0,2.0,3.0,3747.0,613951.8,26229.0
25.0,5.0,5.0,1.0,3643.0,513117.675,40073.0
25.0,5.0,5.0,5.0,3643.0,418985.0158125,14572.0
25.0,5.0,5.0,3.0,3643.0,464249.325,25501.0
25.0,5.0,5.0,2.0,3643.0,488683.5,32787.0
25.0,5.0,5.0,4.0,3643.0,441036.85875,18215.0
26.0,6.0,1.0,1.0,5198.0,3362642.08875,57178.0
26.0,6.0,1.0,5.0,5198.0,2752638.98875,20792.0
26.0,6.0,1.0,3.0,5198.0,3050015.5,36386.0
26.0,6.0,1.0,2.0,5198.0,3202516.275,46782.0
26.0,6.0,1.0,4.0,5198.0,2897514.725,25990.0
32.0,7.0,2.0,1.0,4066.0,604073.035125,44726.0
32.0,7.0,2.0,5.0,4066.0,495729.95,16264.0
32.0,7.0,2.0,3.0,4066.0,547912.05,28462.0
32.0,7.0,2.0,2.0,4066.0,575307.6525,36594.0
32.0,7.0,2.0,4.0,4066.0,521821.0,20330.0
33.0,7.0,3.0,1.0,3901.0,396624.606525,42911.0
33.0,7.0,3.0,5.0,3901.0,324674.564525,15604.0
33.0,7.0,3.0,3.0,3901.0,359750.21,27307.0
33.0,7.0,3.0,2.0,3901.0,377737.7205,35109.0
33.0,7.0,3.0,4.0,3901.0,341762.6995,19505.0
28.0,6.0,3.0,1.0,4013.0,1176680.61,44143.0
28.0,6.0,3.0,5.0,4013.0,963223.81,16052.0
28.0,6.0,3.0,3.0,4013.0,1067284.0,28091.0
28.0,6.0,3.0,2.0,4013.0,1120648.2,36117.0
28.0,6.0,3.0,4.0,4013.0,1013919.8,20065.0
29.0,6.0,4.0,1.0,3854.0,539380.3527,42394.0
29.0,6.0,4.0,5.0,3854.0,441533.5767,15416.0
